RepRapFirmware height map file v2 generated at 2020-11-06 22:53, min error -0.091, max error 0.213, mean 0.006, deviation 0.067
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
40.00,300.00,10.00,260.00,-1.00,65.00,62.50,5,5
 -0.036, -0.042, -0.010,  0.047,  0.213
 -0.043, -0.029, -0.021,  0.017,  0.073
  0.008,  0.003, -0.010, -0.025, -0.088
 -0.025, -0.003,  0.013, -0.026, -0.086
  0.078,  0.114,  0.094,  0.036, -0.091
